CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO;POPULACAO;EQUIPES_POR_100K
250370;PB;2;EMAD I, EMAP;Cajazeiras;;
250380;PB;1;EMAP-R;Caldas Brandão;;
250400;PB;4;EMAD I, EMAP;Campina Grande;;
250410;PB;1;EMAP-R;Carrapateira;;
250440;PB;2;EMAD II, EMAP;Conceição;;
250450;PB;1;EMAP-R;Condado;;
250460;PB;2;EMAD II, EMAP;Conde;;
250470;PB;1;EMAP-R;Congo;;
250480;PB;2;EMAD II, EMAP;Coremas;;
250510;PB;2;EMAD II, EMAP;Cuité;;
250530;PB;1;EMAP-R;Curral Velho;;
250580;PB;1;EMAP-R;Duas Estradas;;
250590;PB;1;EMAP-R;Emas;;
250600;PB;2;EMAD II, EMAP;Esperança;;
250630;PB;2;EMAD I, EMAP;Guarabira;;
250660;PB;1;EMAP-R;Ibiara;;
250680;PB;2;EMAD II, EMAP;Ingá;;
250690;PB;2;EMAD II, EMAP;Itabaiana;;
250700;PB;2;EMAD II, EMAP;Itaporanga;;
250720;PB;1;EMAP-R;Itatuba;;
250730;PB;1;EMAP-R;Jacaraú;;
250750;PB;10;EMAD I, EMAP;João Pessoa;;
250770;PB;1;EMAD II;Juazeirinho;;
250790;PB;2;EMAD II, EMAP;Juripiranga;;
250800;PB;1;EMAP-R;Juru;;
250820;PB;1;EMAP-R;Lagoa de Dentro;;
250830;PB;1;EMAD II;Lagoa Seca;;
250840;PB;1;EMAP-R;Lastro;;
250855;PB;1;EMAP-R;Logradouro;;
250890;PB;2;EMAD I, EMAP;Mamanguape;;
250900;PB;1;EMAP;Manaíra;;
250940;PB;1;EMAP-R;Mogeiro;;
250970;PB;2;EMAD II, EMAP;Monteiro;;
250980;PB;1;EMAP-R;Mulungu;;
251070;PB;1;EMAP-R;Passagem;;
251080;PB;2;EMAD I, EMAP;Patos;;
251120;PB;2;EMAD II, EMAP;Pedras de Fogo;;
251130;PB;2;EMAD II, EMAP;Piancó;;
251150;PB;2;EMAD II, EMAP;Pilar;;
251170;PB;1;EMAP-R;Pilõezinhos;;
251210;PB;2;EMAD II, EMAP;Pombal;;
251230;PB;1;EMAD II;Princesa Isabel;;
251250;PB;2;EMAD I, EMAP;Queimadas;;
251275;PB;1;EMAP-R;Riachão do Bacamarte;;
251278;PB;1;EMAP-R;Riacho de Santo Antônio;;
251320;PB;2;EMAD II, EMAP;Santa Cruz;;
251330;PB;1;EMAP-R;Santa Helena;;
251335;PB;1;EMAP-R;Santa Inês;;
251340;PB;1;EMAP-R;Santa Luzia;;
251350;PB;1;EMAP-R;Santana de Mangueira;;
251370;PB;2;EMAD I, EMAP;Santa Rita;;
251390;PB;1;EMAD II;São Bento;;
251394;PB;1;EMAP-R;São Domingos do Cariri;;
251430;PB;1;EMAP-R;São José de Caiana;;
251440;PB;1;EMAP-R;São José de Espinharas;;
251445;PB;1;EMAP-R;São José dos Ramos;;
251450;PB;2;EMAD II, EMAP;São José de Piranhas;;
251455;PB;1;EMAP-R;São José de Princesa;;
251470;PB;1;EMAP-R;São José do Sabugi;;
251530;PB;2;EMAD I, EMAP;Sapé;;
251550;PB;1;EMAP-R;Serra Branca;;
251570;PB;1;EMAP-R;Serra Grande;;
251593;PB;1;EMAP-R;Sertãozinho;;
251600;PB;1;EMAD II;Solânea;;
251620;PB;2;EMAD I, EMAP;Sousa;;
251640;PB;1;EMAP-R;Tacima;;
251660;PB;2;EMAD II, EMAP;Tavares;;
251670;PB;2;EMAD II, EMAP;Teixeira;;
251690;PB;2;EMAD II, EMAP;Uiraúna;;
251720;PB;1;EMAP-R;Vieirópolis;;
260005;PE;2;EMAD I, EMAP;Abreu e Lima;;
260010;PE;1;EMAD I;Afogados da Ingazeira;;
260030;PE;2;EMAD II, EMAP;Agrestina;;
260050;PE;2;EMAD I, EMAP;Águas Belas;;
260070;PE;2;EMAD I, EMAP;Aliança;;
260080;PE;2;EMAD II, EMAP;Altinho;;
260090;PE;2;EMAD II, EMAP;Amaraji;;
260140;PE;2;EMAD I, EMAP;Barreiros;;
260170;PE;3;EMAD I, EMAP;Belo Jardim;;
260190;PE;2;EMAD I, EMAP;Bezerros;;
260210;PE;2;EMAD I, EMAP;Bom Conselho;;
260290;PE;4;EMAD I, EMAD II, EMAP;Cabo de Santo Agostinho;;
260310;PE;2;EMAD II, EMAP;Cachoeirinha;;
260320;PE;2;EMAD II, EMAP;Caetés;;
260370;PE;2;EMAD II, EMAP;Canhotinho;;
260380;PE;2;EMAD II, EMAP;Capoeiras;;
260400;PE;2;EMAD I, EMAP;Carpina;;
260410;PE;4;EMAD I, EMAP;Caruaru;;
260420;PE;1;EMAD II;Catende;;
260480;PE;2;EMAD II, EMAP;Cortês;;
260540;PE;2;EMAD II, EMAP;Feira Nova;;
260590;PE;2;EMAD II, EMAP;Gameleira;;
260600;PE;2;EMAD I, EMAP;Garanhuns;;
260620;PE;2;EMAD I, EMAP;Goiana;;
260640;PE;2;EMAD I, EMAP;Gravatá;;
260750;PE;2;EMAD II, EMAP;Itaíba;;
260760;PE;2;EMAD II, EMAP;Ilha de Itamaracá;;
260765;PE;2;EMAD II, EMAP;Itambé;;
260775;PE;2;EMAD II, EMAP;Itapissuma;;
260790;PE;9;EMAD I, EMAP;Jaboatão dos Guararapes;;
260880;PE;2;EMAD II, EMAP;Lajedo;;
260900;PE;1;EMAD II;Macaparana;;
260950;PE;2;EMAD I, EMAP;Nazaré da Mata;;
261000;PE;5;EMAD I, EMAD II, EMAP;Palmares;;
261020;PE;2;EMAD II, EMAP;Panelas;;
261070;PE;3;EMAD I, EMAD II, EMAP;Paulista;;
261090;PE;2;EMAD I, EMAP;Pesqueira;;
261100;PE;2;EMAD II, EMAP;Petrolândia;;
261110;PE;4;EMAD I, EMAP;Petrolina;;
261160;PE;17;EMAD I, EMAD II, EMAP;Recife;;
261170;PE;1;EMAD II;Riacho das Almas;;
261190;PE;2;EMAD II, EMAP;Rio Formoso;;
261240;PE;2;EMAD II, EMAP;Sanharó;;
261250;PE;2;EMAD I, EMAP;Santa Cruz do Capibaribe;;
261300;PE;2;EMAD I, EMAP;São Bento do Una;;
261310;PE;2;EMAD II, EMAP;São Caitano;;
261320;PE;2;EMAD II, EMAP;São João;;
261330;PE;2;EMAD II, EMAP;São Joaquim do Monte;;
261340;PE;2;EMAD II, EMAP;São José da Coroa Grande;;
261380;PE;2;EMAD II, EMAP;São Vicente Férrer;;
261420;PE;2;EMAD I, EMAP;Sirinhaém;;
261485;PE;2;EMAD II, EMAP;Tamandaré;;
261640;PE;2;EMAD I, EMAP;Vitória de Santo Antão;;
261650;PE;2;EMAD II, EMAP;Xexéu;;
270010;AL;2;EMAD II, EMAP;Água Branca;;
270030;AL;3;EMAD I, EMAP;Arapiraca;;
270040;AL;2;EMAD I, EMAP;Atalaia;;
270060;AL;1;EMAP-R;Barra de São Miguel;;
270100;AL;1;EMAD II;Boca da Mata;;
270130;AL;2;EMAD II, EMAP;Cajueiro;;
270140;AL;2;EMAD I, EMAP;Campo Alegre;;
270170;AL;2;EMAD II, EMAP;Capela;;
270210;AL;2;EMAD II, EMAP;Colônia Leopoldina;;
270230;AL;2;EMAD I, EMAP;Coruripe;;
270235;AL;2;EMAD II, EMAP;Craíbas;;
270240;AL;2;EMAD I, EMAP;Delmiro Gouveia;;
270290;AL;2;EMAD II, EMAP;Girau do Ponciano;;
270310;AL;2;EMAD II, EMAP;Igaci;;
270320;AL;2;EMAD II, EMAP;Igreja Nova;;
270375;AL;1;EMAP-R;Jequiá da Praia;;
270380;AL;2;EMAD II, EMAP;Joaquim Gomes;;
270400;AL;2;EMAD II, EMAP;Junqueiro;;
270420;AL;2;EMAD II, EMAP;Limoeiro de Anadia;;
270430;AL;13;EMAD I, EMAP;Maceió;;
270450;AL;2;EMAD II, EMAP;Maragogi;;
270470;AL;2;EMAD I, EMAP;Marechal Deodoro;;
270510;AL;2;EMAD II, EMAP;Matriz de Camaragibe;;
270550;AL;2;EMAD II, EMAP;Murici;;
270560;AL;1;EMAP-R;Novo Lino;;
270570;AL;2;EMAD II, EMAP;Olho d'Água das Flores;;
270630;AL;2;EMAD I, EMAP;Palmeira dos Índios;;
270640;AL;2;EMAD II, EMAP;Pão de Açúcar;;
270670;AL;2;EMAD I, EMAP;Penedo;;
270690;AL;2;EMAD II, EMAP;Pilar;;
270710;AL;2;EMAD II, EMAP;Piranhas;;
270730;AL;2;EMAD II, EMAP;Porto Calvo;;
270750;AL;2;EMAD II, EMAP;Porto Real do Colégio;;
270770;AL;2;EMAD I, EMAP;Rio Largo;;
270790;AL;1;EMAP-R;Santa Luzia do Norte;;
270800;AL;2;EMAD I, EMAP;Santana do Ipanema;;
270830;AL;2;EMAD II, EMAP;São José da Laje;;
270840;AL;2;EMAD II, EMAP;São José da Tapera;;
270850;AL;2;EMAD II, EMAP;São Luís do Quitunde;;
270860;AL;2;EMAD I, EMAP;São Miguel dos Campos;;
270880;AL;2;EMAD II, EMAP;São Sebastião;;
270890;AL;2;EMAD II, EMAP;Satuba;;
270915;AL;2;EMAD I, EMAP;Teotônio Vilela;;
270920;AL;2;EMAD II, EMAP;Traipu;;
270930;AL;2;EMAD I, EMAP;União dos Palmares;;
270940;AL;2;EMAD II, EMAP;Viçosa;;
280020;SE;2;EMAD II, EMAP;Aquidabã;;
280030;SE;4;EMAD I, EMAP;Aracaju;;
280067;SE;2;EMAD II, EMAP;Boquim;;
280120;SE;2;EMAD II, EMAP;Canindé de São Francisco;;
280130;SE;2;EMAD II, EMAP;Capela;;
280170;SE;1;EMAP-R;Cristinápolis;;
280210;SE;1;EMAD I;Estância;;
280290;SE;3;EMAD I, EMAP;Itabaiana;;
280300;SE;2;EMAD I, EMAP;Itabaianinha;;
280320;SE;2;EMAD II, EMAP;Itaporanga d'Ajuda;;
280330;SE;1;EMAP-R;Japaratuba;;
280350;SE;2;EMAD I, EMAP;Lagarto;;
280360;SE;2;EMAD II, EMAP;Laranjeiras;;
280370;SE;1;EMAP-R;Macambira;;
280445;SE;1;EMAP-R;Nossa Senhora Aparecida;;
